City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Darhan,MN,2021-01-19 17:06:30,49.4867,105.9228,11.75,88,76,10.29
265,Portales,US,2021-01-19 17:04:37,34.1862,-103.3344,37.4,44,90,21.85
266,Carutapera,BR,2021-01-19 17:06:30,-1.195,-46.02,80.8,86,73,8.3
267,Esso,RU,2021-01-19 17:06:30,55.9333,158.7,3.88,87,100,4.32
268,Khatanga,RU,2021-01-19 17:06:31,71.9667,102.5,-32.13,83,57,7.65
269,Phan Thiet,VN,2021-01-19 17:06:31,10.9333,108.1,70.45,77,97,2.19
270,Mayo,US,2021-01-19 17:06:31,38.8876,-76.5119,48.0,42,40,8.05
271,Singaraja,ID,2021-01-19 17:06:31,-8.112,115.0882,78.69,71,100,3.11
272,Malatya,TR,2021-01-19 17:04:31,38.5,38.0,23.0,68,0,4.61
273,Port Hedland,AU,2021-01-19 17:06:31,-20.3167,118.5667,86.0,79,84,8.05
274,Matamoros,MX,2021-01-19 17:05:32,25.5333,-103.25,71.6,21,75,5.75
275,Port Blair,IN,2021-01-19 17:06:32,11.6667,92.75,77.94,75,67,10.49
276,Igrim,RU,2021-01-19 17:06:32,63.1906,64.4162,-18.22,84,14,6.24
277,Castro,BR,2021-01-19 17:06:32,-24.7911,-50.0119,68.0,92,100,9.01
278,Erzin,TR,2021-01-19 17:06:32,36.9559,36.2,46.99,53,87,5.99
279,San Isidro,PE,2021-01-19 17:06:32,-12.1167,-77.05,77.0,65,0,6.91
280,Dunedin,NZ,2021-01-19 17:02:14,-45.8742,170.5036,52.0,63,53,16.87
281,Aktash,RU,2021-01-19 17:06:33,50.3,87.7333,8.89,87,82,4.97
282,Yangambi,CD,2021-01-19 17:06:33,0.8102,24.4336,80.19,59,94,1.34
283,La Ronge,CA,2021-01-19 17:06:33,55.1001,-105.2842,10.4,85,100,8.05
284,Ancud,CL,2021-01-19 17:06:33,-41.8697,-73.8203,75.99,60,40,5.75
285,Norman Wells,CA,2021-01-19 17:06:33,65.282,-126.8329,12.2,92,90,5.75
286,Derazhnya,UA,2021-01-19 17:06:33,49.2692,27.4338,10.4,93,12,5.28
287,Biloela,AU,2021-01-19 17:06:34,-24.4167,150.5,71.2,84,21,3.6
288,Salumbar,IN,2021-01-19 17:06:34,24.1333,74.05,66.22,35,0,7.56
289,Jining,CN,2021-01-19 17:06:34,35.405,116.5814,35.47,88,0,8.21
290,Portobelo,PA,2021-01-19 17:06:34,9.55,-79.65,90.0,74,12,14.0
291,Arman,RU,2021-01-19 17:06:34,59.7,150.1667,-12.91,78,100,12.73
